FIPS,County,City,Year,Estimate,Primary Point
1964605,Jackson,Preston,July 01 2013,985,POINT (-90.3973609 42.0490456)
1928605,Lee,Fort Madison,July 01 2019,10321,POINT (-91.3519128 40.6198735)
1921405,Grundy,Dike,July 01 2013,1230,POINT (-92.6255847 42.4641335)
1950700,Cedar,Mechanicsville,April 01 2020,1020,POINT (-91.2532455 41.905572)
1938100,Buchanan,Independence,July 01 2012,5973,POINT (-91.9029773 42.4621659)
1963570,Decatur,Pleasanton,July 01 2013,46,POINT (-93.7430081 40.5824833)
1950430,Sioux,Maurice,July 01 2019,271,POINT (-96.1827384 42.9660542)
1972525,Page,Shenandoah (pt.),July 01 2022,4886,POINT (-95.3720582 40.7583016)
1911395,Guthrie,Casey (pt.),July 01 2013,399,POINT (-94.5212707 41.5074602)
1924735,Polk,Elkhart,April 01 2010,683,POINT (-93.5242476 41.7922878)
1999990,Winneshiek,Balance of Winneshiek County,April 01 2010,9844,
1926760,Dubuque,Farley,July 01 2018,1682,POINT (-91.0091147 42.4437548)
1911485,Winneshiek,Castalia,July 01 2023,142,POINT (-91.6769622 43.1128048)
1984180,Fayette,Westgate,July 01 2016,200,POINT (-91.9955964 42.7682394)
1968520,Pocahontas,Rolfe,July 01 2024,505,POINT (-94.5313396 42.8129005)
1987420,Page,Yorktown,July 01 2021,61,POINT (-95.1543964 40.7353688)
1926265,Audubon,Exira,April 01 2010,840,POINT (-94.8810861 41.5919759)
1925995,Black Hawk,Evansdale,July 01 2017,4768,POINT (-92.2764679 42.4634704)
1977970,Fremont,Thurman,July 01 2011,230,POINT (-95.7488095 40.8202236)
1975630,Buena Vista,Storm Lake,July 01 2012,10773,POINT (-95.1970008 42.6431467)
1926310,Appanoose,Exline,July 01 2013,157,POINT (-92.8431396 40.649046)
1999990,Allamakee,Balance of Allamakee County,April 01 2020,6235,
1907075,Muscatine,Blue Grass (pt.),July 01 2014,30,POINT (-90.7648763 41.5095767)
1945660,Marshall,Liscomb,July 01 2013,305,POINT (-93.0061716 42.1910286)
1964605,Jackson,Preston,July 01 2018,963,POINT (-90.3973609 42.0490456)
1937335,Lee,Houghton,July 01 2019,136,POINT (-91.6108093 40.7836664)
1919180,Webster,Dayton,April 01 2010,837,POINT (-94.0711394 42.262259)
1935130,Pocahontas,Havelock,July 01 2015,131,POINT (-94.7008548 42.8331095)
1914430,Clinton,Clinton,July 01 2018,25184,POINT (-90.2407895 41.8434359)
